courseid, course_name, platformid, duration, creation_date, tags, photo, active, recbegindate, recenddate
1,Eiffel,143,130,2020-02-29,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,"[{}, {}, {}]",y,2020-02-29,9999-12-31
2,RV,538,218,2020-02-05,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,[],y,2020-02-05,9999-12-31
3,DFT Compiler,124,115,2022-04-08,ut nulla sed accumsan felis ut at dolor quis odio consequat,"[{}, {}, {}, {}]",y,2022-04-08,9999-12-31
4,VMware Certified Professional,468,232,2020-04-15,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,[{}],y,2020-04-15,9999-12-31
5,CDMA 1X,875,24,2018-02-20,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,[],y,2018-02-20,9999-12-31
6,Equipment Installation,468,42,2022-01-22,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,[],y,2022-01-22,9999-12-31
7,Grievances,989,209,2021-06-19,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,"[{}, {}]",y,2021-06-19,9999-12-31
8,RRC,843,126,2021-11-28,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,[],y,2021-11-28,9999-12-31
9,Kohana Framework,875,68,2021-02-23,NaN,"[{}, {}]",y,2021-02-23,9999-12-31
10,Automobile,428,230,2019-11-16,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,"[{}, {}]",y,2019-11-16,9999-12-31
11,DDD,28,201,2020-10-05,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,"[{}, {}, {}]",y,2020-10-05,9999-12-31
12,NaN,143,79,2018-01-10,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,[{}],y,2018-01-10,9999-12-31
13,Obedience,806,183,2020-09-14,NaN,"[{}, {}, {}, {}, {}]",y,2020-09-14,9999-12-31
