courseid,course_name,platformid,duration,creation_date,tags,photo,active,recbegindate,recenddate
1,Hospitality Management,776,98,2019-08-08 00:00:00,aliquet at feugiat non pretium,"[{}, {}]",y,2019-08-08,9999-12-31
2,Alumni Relations,304,67,2018-09-06 00:00:00,dui luctus rutrum nulla tellus in sagittis,[],y,2018-09-06,9999-12-31
3,Information Assurance,699,25,2022-03-22 00:00:00,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,"[{}, {}, {}, {}]",y,2022-03-22,9999-12-31
4,Judo,912,152,2021-10-27 00:00:00,odio curabitur convallis duis consequat dui nec,"[{}, {}, {}, {}]",y,2021-10-27,9999-12-31
5,Classroom,520,120,2018-08-24 00:00:00,lorem id ligula suspendisse ornare,"[{}, {}, {}, {}]",y,2018-08-24,9999-12-31
6,Cisco VoIP,354,231,2020-06-26 00:00:00,et ultrices posuere cubilia curae mauris viverra diam vitae,"[{}, {}]",y,2020-06-26,9999-12-31
7,NaN,253,197,2018-11-22 00:00:00,cubilia curae donec pharetra magna,[{}],y,2018-11-22,9999-12-31
8,Atmel AVR,526,232,2021-06-06 00:00:00,nulla nunc purus phasellus in felis donec semper,"[{}, {}, {}, {}]",y,2021-06-06,9999-12-31
9,RFP Generation,178,123,2019-03-22 00:00:00,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,"[{}, {}]",y,2019-03-22,9999-12-31
10,Music Theory,557,213,2018-10-22 00:00:00,pretium nisl ut volutpat sapien arcu sed augue aliquam,"[{}, {}]",y,2018-10-22,9999-12-31
11,Egyptology,326,99,2021-07-05 00:00:00,consequat morbi a ipsum integer,"[{}, {}, {}]",y,2021-07-05,9999-12-31
12,Snoring,180,208,2021-11-25 00:00:00,ut blandit non interdum in,"[{}, {}, {}]",y,2021-11-25,9999-12-31
13,Swimming,289,26,2018-04-28 00:00:00,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,"[{}, {}, {}]",y,2018-04-28,9999-12-31
14,PDI,773,180,2018-04-23 00:00:00,venenatis non sodales sed tincidunt eu felis,"[{}, {}, {}]",y,2018-04-23,9999-12-31
15,OSHA Instruction,704,46,2022-06-03 00:00:00,nunc proin at turpis a pede posuere,[{}],y,2022-06-03,9999-12-31
16,Estimates,529,27,2022-06-12 00:00:00,nulla pede ullamcorper augue a suscipit nulla,"[{}, {}, {}, {}, {}]",y,2022-06-12,9999-12-31
17,LSAMS,77,24,2019-08-10 00:00:00,ligula in lacus curabitur at ipsum ac,[],y,2019-08-10,9999-12-31
18,Custom Furniture,379,97,2021-03-07 00:00:00,ut nulla sed accumsan felis,"[{}, {}]",y,2021-03-07,9999-12-31
19,EIFS,394,156,2018-05-07 00:00:00,vel nulla eget eros elementum pellentesque quisque porta volutpat,"[{}, {}]",y,2018-05-07,9999-12-31
20,IEC,129,77,2020-10-08 00:00:00,consequat lectus in est risus auctor sed tristique,[{}],y,2020-10-08,9999-12-31
21,XPlanner,975,175,2021-12-23 00:00:00,aenean sit amet justo morbi ut odio cras mi,"[{}, {}, {}, {}, {}]",y,2021-12-23,9999-12-31
22,Aerial Lifts,46,75,2018-03-24 00:00:00,odio donec vitae nisi nam,[],y,2018-03-24,9999-12-31
