reviewid, userid, courseid, feedback, like_dislike, ranking_score, active, recbegindate, recenddate
1,358,294,,t,,y,2019-07-26,9999-12-31
2,320,680,,t,,y,2021-09-18,9999-12-31
3,559,871,diam erat fermentum justo nec condimentum neque sapien placerat ante,f,4,y,2021-12-20,9999-12-31
4,802,514,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,f,1,y,2020-04-15,9999-12-31
5,869,493,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,f,5,y,2018-06-06,9999-12-31
6,610,682,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,f,1,y,2020-04-23,9999-12-31
7,277,509,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,t,1,y,2018-04-14,9999-12-31
8,270,445,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,t,2,y,2021-11-03,9999-12-31
9,870,104,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,t,1,y,2022-02-24,9999-12-31
10,310,668,,t,,y,2020-08-28,9999-12-31
11,576,631,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,t,5,y,2022-06-05,9999-12-31
12,494,959,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,f,5,y,2018-06-07,9999-12-31
13,861,88,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,f,3,y,2020-08-06,9999-12-31
14,128,504,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,t,4,y,2022-08-10,9999-12-31
15,649,400,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,t,3,y,2018-10-12,9999-12-31
16,792,313,,t,,y,2020-09-23,9999-12-31
17,353,682,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,f,4,y,2019-08-21,9999-12-31
18,533,895,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,t,2,y,2018-04-11,9999-12-31
19,769,883,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,t,3,y,2022-01-21,9999-12-31
20,594,374,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,f,1,y,2022-06-16,9999-12-31
21,192,838,,t,,y,2020-02-08,9999-12-31
22,847,601,,f,,y,2022-05-01,9999-12-31
23,767,113,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,t,2,y,2020-07-22,9999-12-31
24,216,216,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,t,3,y,2021-09-13,9999-12-31
25,541,771,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,t,3,y,2019-10-19,9999-12-31
26,210,483,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,t,3,y,2019-07-30,9999-12-31
27,828,270,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,t,5,y,2021-05-24,9999-12-31
28,625,994,,f,,y,2021-11-19,9999-12-31
29,921,259,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,f,4,y,2019-03-02,9999-12-31
30,277,565,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,f,4,y,2020-09-26,9999-12-31
31,96,398,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,f,5,y,2019-08-25,9999-12-31
32,862,192,,f,,y,2021-01-13,9999-12-31
33,302,14,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,f,5,y,2019-01-18,9999-12-31
34,363,519,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,t,4,y,2019-09-27,9999-12-31
35,674,938,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,f,4,y,2020-07-25,9999-12-31
36,25,661,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,t,2,y,2019-03-06,9999-12-31
37,832,76,ante nulla justo aliquam quis turpis eget elit sodales scelerisque,f,2,y,2022-05-08,9999-12-31
38,748,569,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,t,5,y,2019-06-20,9999-12-31
39,776,289,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,t,3,y,2018-08-31,9999-12-31
40,850,696,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,f,3,y,2020-08-25,9999-12-31
41,185,88,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,f,2,y,2020-03-17,9999-12-31
42,942,199,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,t,5,y,2020-03-26,9999-12-31
43,751,629,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,t,4,y,2021-03-20,9999-12-31
44,862,39,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,f,3,y,2019-12-26,9999-12-31
45,411,264,,t,,y,2020-11-02,9999-12-31
46,822,18,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,f,5,y,2021-08-12,9999-12-31
47,835,924,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,t,4,y,2022-08-20,9999-12-31
48,100,130,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,f,1,y,2021-05-15,9999-12-31
49,884,979,consequat lectus in est risus auctor sed tristique in tempus sit,f,2,y,2020-08-09,9999-12-31
50,649,760,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,f,5,y,2018-12-17,9999-12-31
51,717,163,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,t,1,y,2022-01-24,9999-12-31
52,414,726,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,t,5,y,2022-03-29,9999-12-31
53,722,51,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,f,1,y,2021-06-13,9999-12-31
54,56,296,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,t,3,y,2019-12-25,9999-12-31
55,8,773,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,t,2,y,2021-03-31,9999-12-31
56,512,429,malesuada in imperdiet et commodo vulputate justo in blandit ultrices,f,3,y,2021-07-29,9999-12-31
57,636,363,pede justo eu massa donec dapibus duis at velit eu est congue elementum in,f,5,y,2018-06-22,9999-12-31
58,489,555,tristique fusce congue diam id ornare imperdiet sapien urna pretium,f,3,y,2022-05-10,9999-12-31
59,55,994,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,t,1,y,2020-04-25,9999-12-31
60,389,597,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,t,1,y,2018-10-06,9999-12-31
61,991,122,,f,,y,2020-03-25,9999-12-31
62,678,880,,t,,y,2021-05-03,9999-12-31
63,345,130,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,t,2,y,2020-02-22,9999-12-31
64,661,862,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,t,5,y,2018-11-04,9999-12-31
65,295,355,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,f,5,y,2019-03-07,9999-12-31
66,228,678,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,f,2,y,2018-07-27,9999-12-31
67,852,624,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,t,3,y,2018-03-25,9999-12-31
68,267,968,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,t,5,y,2019-01-05,9999-12-31
69,963,932,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,f,4,y,2021-12-26,9999-12-31
70,536,667,,f,,y,2022-04-07,9999-12-31
71,243,204,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,t,2,y,2018-08-21,9999-12-31
72,995,62,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,f,5,y,2021-03-23,9999-12-31
73,897,180,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,f,1,y,2019-11-18,9999-12-31
74,717,41,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,f,1,y,2019-01-01,9999-12-31
75,392,401,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in,t,4,y,2019-02-10,9999-12-31
76,228,699,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,t,3,y,2022-05-29,9999-12-31
77,300,811,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,f,2,y,2019-01-26,9999-12-31
78,514,827,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,t,3,y,2021-01-24,9999-12-31
79,894,815,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,t,2,y,2021-09-17,9999-12-31
